scientific,common,family,habitat,c_fert,c_court,c_system,c_choice,mate_choice_index,note,n_images,colorfulness,hue_entropy,saturation,sat_p90,high_chroma_frac,n_color_clusters,contrast,edge_density,aspect_ratio,body_depth,solidity,silhouette_cplx,extent
Haemulon sciurus,Bluestriped grunt,Haemulidae,marine,0,0,0,1,0.83,aggregation,25,50.47324586662357,2.3299045265109064,0.4254796922306538,0.6862745098039216,0.2,5.0,39.68282787330136,0.1988504860361055,2.284542007476199,0.5737051792828686,0.775532391123617,3.1553847459671847,0.5271444531799562
Lutjanus kasmira,Bluestripe snapper,Lutjanidae,marine,0,0,0,1,0.83,"TRAP: yellow, aggregation spawn",25,78.68540497594651,3.0541377015053275,0.4974395005701517,0.9098039215686274,0.3535235876528829,5.0,31.65383617385283,0.1490592196474549,2.1450492513937554,0.5282051282051282,0.7427476352895671,3.9739076295920417,0.5021877269426289
Acanthurus coeruleus,Atlantic blue tang,Acanthuridae,marine,0,0,0,1,0.83,group spawn,25,63.083175646290115,1.5725710411062856,0.6502742803606084,0.9176470588235294,0.6951691117795101,4.0,20.56628418016114,0.0509435303315682,1.575974850222654,0.729957805907173,0.8820647164410809,2.1556521909446875,0.5998748435544431
Epinephelus striatus,Nassau grouper,Serranidae,marine,0,1,0,0,0.83,huge spawning aggregations,25,41.67945599394739,1.8888681717142264,0.3556536711618804,0.5568627450980392,0.0640707964601769,5.0,36.529695407671575,0.1248595821163783,1.809084342957098,0.6830065359477124,0.856903285090742,2.459860668842836,0.5916083916083916
Mulloidichthys vanicolensis,Yellowfin goatfish,Mullidae,marine,0,0,0,1,0.83,group spawn,25,59.2417048370144,3.2291983789209753,0.4442170252015829,0.6705882352941176,0.1788488535329901,5.0,31.047331911484125,0.1201280777299326,2.6020431131654407,0.5625,0.6501668354882917,4.440188608880095,0.428824218005608
Zebrasoma veliferum,Sailfin tang,Acanthuridae,marine,0,1,0,1,1.67,aggregation spawner,25,33.48093567372453,2.9788292966933363,0.3689633708512132,0.5882352941176471,0.0862112156890813,5.0,45.75705902881467,0.1214097722851584,1.491998271856016,0.8074534161490683,0.923381694016626,1.763967440219011,0.6500294553801775
Naso lituratus,Orangespine unicornfish,Acanthuridae,marine,0,1,0,1,1.67,group spawn,25,34.83635628633127,2.7623856769472583,0.3006523659786657,0.5333333333333333,0.0728668438145851,4.0,34.87283173955551,0.0779979845482028,1.8883024732963003,0.6135265700483091,0.8982606692391868,1.906061189102567,0.6036090225563909
Acanthurus leucosternon,Powder blue tang,Acanthuridae,marine,0,1,0,1,1.67,"TRAP: gorgeous, aggregation spawner",25,77.7405636654905,2.064720250091383,0.5459031663984887,0.7843137254901961,0.4791132752434648,5.0,42.62765480960996,0.0665948877457431,1.9643091060589648,0.6785714285714286,0.872197818337183,2.005394148688897,0.6236095661846496
Zebrasoma xanthurum,Purple tang,Acanthuridae,marine,0,1,0,1,1.67,"TRAP: vivid, aggregation spawner",25,71.26316588574332,1.919016973266838,0.6728426885510371,0.8627450980392157,0.6627786417833074,2.0,33.61144029042397,0.0345750740487582,1.861354359393553,0.8199052132701422,0.883535369034832,2.055892587298577,0.5920121334681496
Zebrasoma flavescens,Yellow tang,Acanthuridae,marine,0,1,0,1,1.67,"TRAP: vivid yellow, aggregation spawner",25,81.13853368639565,1.341965379531691,0.8642831471530921,0.9372549019607844,0.9449402347341662,4.0,24.871046828719383,0.0472503014003524,1.7818873860413234,0.7569060773480663,0.8723739151345561,1.9798653667296784,0.5534956650064564
Paracanthurus hepatus,Blue tang,Acanthuridae,marine,0,1,0,1,1.67,"TRAP: brilliant blue, aggregation spawner",25,89.50845792277696,1.9470904172546168,0.7443659616077402,0.8666666666666667,0.8017277930888277,4.0,44.58797766663674,0.1069552617279478,2.0521593248877226,0.5192307692307693,0.9058919577129572,2.0112858453372757,0.6283224574247971
Danio rerio,Zebrafish,Cyprinidae,freshwater,1,1,0,1,2.5,"scatter spawner, some chasing",25,32.169589346482766,2.0296410415452657,0.3922309398756998,0.5137254901960784,0.0387523100184801,5.0,29.236660454794748,0.1695291679005034,2.6039554698269733,0.5338345864661654,0.8541335011661916,2.8317097126052064,0.5572572572572573
Corydoras aeneus,Bronze cory,Callichthyidae,freshwater,1,1,0,1,2.5,T-position spawner,25,44.45726741042824,3.019361746248806,0.4178641386737121,0.6470588235294118,0.1592694236774865,6.0,46.84550697923299,0.2306553843183938,2.629721537914169,0.4521276595744681,0.7526066820219431,3.315407805769979,0.5112095749187968
Puntigrus tetrazona,Tiger barb,Cyprinidae,freshwater,1,1,0,1,2.5,egg scatterer,25,33.5900427734356,1.9794477103942176,0.2423508451841482,0.4705882352941176,0.0191530643122875,5.0,43.351517751327094,0.1747220997992263,1.9879548716634936,0.6090909090909091,0.8650220016852355,2.033481653455307,0.6928054790165324
Trigonostigma heteromorpha,Harlequin rasbora,Cyprinidae,freshwater,1,1,0,1,2.5,plant spawner,25,35.24501926963284,1.8187450045912328,0.3139215189999056,0.4866666666666752,0.042152466367713,5.0,31.7425374008403,0.1336367397600331,2.9350722131477154,0.4672131147540984,0.7135739738682856,4.217623876048654,0.447331583552056
Pethia conchonius,Rosy barb,Cyprinidae,freshwater,1,1,0,1,2.5,"egg scatterer, males redden",25,31.905606167846596,2.092676608383757,0.2981048896021474,0.5372549019607843,0.0457946314443971,6.0,45.72917228093686,0.2494577006507592,2.286622695446559,0.5165562913907285,0.7907033256960355,2.8601674887532846,0.533509412216673
Zanclus cornutus,Moorish idol,Zanclidae,marine,1,1,1,1,3.33,pelagic pair spawn,25,57.84167672965964,2.9945025911681613,0.3445598575025191,0.6509803921568628,0.1443801951572099,5.0,60.56815898110013,0.1349771566783122,1.8474151000900525,0.8173913043478261,0.6471579454157013,4.2541377913283105,0.3970467596390484
Siganus vulpinus,Foxface rabbitfish,Siganidae,marine,1,1,1,1,3.33,monogamous pairs,25,93.09941904054084,1.931177670514603,0.6846199542891089,0.8862745098039215,0.725196204755769,4.0,27.618517208774783,0.0486700821110253,2.4025757182518146,0.5525291828793775,0.8634766605320395,2.632038900840944,0.5386161355153604
Cryptocentrus cinctus,Yellow watchman goby,Gobiidae,marine,2,1,1,1,4.17,"pair, male tends",25,49.64496231028138,2.059867322865299,0.5476380539181862,0.8274509803921568,0.4885654885654886,5.0,29.864431142614663,0.1034161713098904,1.912925684012452,0.9043062200956936,0.7798032407407407,2.9339311438312903,0.5145445134575569
Chaetodon lunula,Raccoon butterflyfish,Chaetodontidae,marine,1,1,1,2,4.17,monogamous pairs,25,74.73872640352184,2.67802087312319,0.6225990596315151,0.8980392156862745,0.5690231249450453,5.0,48.62551566912362,0.1281123490846559,1.4871836022605311,0.7660377358490567,0.9598200434377908,1.5072119004609403,0.699364361129067
Amphiprion percula,Orange clownfish,Pomacentridae,marine,2,1,1,1,4.17,monogamous pair,25,53.76091096935251,2.6980847542518047,0.4350435494572199,0.7372549019607844,0.2088780407082575,5.0,43.08501901618144,0.1509610477972444,1.5219270140834162,0.7382198952879581,0.8219109821857593,2.624961276214397,0.5736090130916415
Chromis viridis,Blue-green chromis,Pomacentridae,marine,2,1,0,2,4.17,"male nest, females choose",25,48.125205560375704,2.684436324117919,0.4266228675804397,0.7058823529411765,0.1689142968826346,5.0,37.92310876717496,0.1803273558038368,2.109875900880793,0.5665529010238908,0.8335683769546642,2.9724659878307524,0.5692807364707907
Chaetodon auriga,Threadfin butterflyfish,Chaetodontidae,marine,1,1,1,2,4.17,long-term monogamous pairs,25,85.51554004554697,2.178322199292896,0.411978380527212,0.9294117647058824,0.3458460318640204,5.0,40.548458316140696,0.1339833379108303,1.5803173837050932,0.7658227848101266,0.9296194679708936,1.8235084942855488,0.6549503478622822
Pseudocheilinus hexataenia,Sixline wrasse,Labridae,marine,1,1,2,1,4.17,haremic,25,40.10573787311699,3.913019941207992,0.4283297191657966,0.6666666666666666,0.1635691349615646,5.0,28.9690702544508,0.1279208781654168,2.4022323094631637,0.6233766233766234,0.8971455401654399,2.1657016507713966,0.5653698719517168
Pterois volitans,Red lionfish,Scorpaenidae,marine,1,1,2,1,4.17,"TRAP: striking = aposematic warning, not display",25,35.46218802801684,3.0638134426491908,0.3432519521745314,0.5372549019607843,0.0635364771719101,5.0,45.24112361665378,0.2955667050501727,1.3306475575010812,0.8759124087591241,0.6906633752806175,5.869808603691428,0.4974016620498614
Amphiprion ocellaris,Clown anemonefish,Pomacentridae,marine,2,1,1,1,4.17,monogamous; orange partly symbiotic,25,73.6119965068925,2.174810613500735,0.4220653452801158,0.792156862745098,0.2592451805593266,5.0,44.04639114013288,0.0844488310406514,1.4824466588364402,0.8061674008810573,0.8193613152511554,2.6853696300345833,0.5891109683757132
Chromis cyanea,Blue chromis,Pomacentridae,marine,2,1,0,2,4.17,"male nest, female choice",25,77.4970853372588,2.128329141176325,0.60801773851081,0.8470588235294118,0.5678542459599426,5.0,38.72842146045209,0.1838494613266341,2.4290845793708487,0.6183844011142061,0.7689794057299187,3.583021804485331,0.4566233470132239
Premnas biaculeatus,Maroon clownfish,Pomacentridae,marine,2,1,1,1,4.17,monogamous,25,79.34261656183443,2.3394688911099517,0.5562413103469297,0.803921568627451,0.4474565064672094,4.0,30.002305589311096,0.0733474192574705,1.4612115469441502,0.8097014925373134,0.8825192220714608,2.2596886531237557,0.6396716417910447
Labroides dimidiatus,Cleaner wrasse,Labridae,marine,1,1,2,1,4.17,"haremic, protogynous",25,47.93996603716209,2.671487309924633,0.353231357355321,0.6392156862745098,0.1320881065697271,5.0,52.03612427036907,0.1923345992404557,2.332837391391109,0.6526946107784432,0.8557869203998172,2.5635619533383163,0.5326461413264614
Oxycirrhites typus,Longnose hawkfish,Cirrhitidae,marine,1,1,2,1,4.17,haremic,25,78.40947069993487,2.623121579855873,0.4920101698030366,0.8862745098039215,0.3313870108584306,6.0,37.68973624240764,0.2532428537112659,2.36503845158561,0.6120689655172413,0.7898765581507927,3.872890606797663,0.4534870250231696
Chaetodon semilarvatus,Masked butterflyfish,Chaetodontidae,marine,1,1,1,2,4.17,monogamous pairs,25,101.20867895620168,1.4765108815532584,0.8750387845975479,0.9882352941176472,0.9376680979568726,4.0,31.01124080809891,0.1272637345913864,1.4013971549732973,0.7873134328358209,0.956041531854815,1.6006915160869557,0.6966628086419753
Heniochus acuminatus,Pennant bannerfish,Chaetodontidae,marine,1,1,1,2,4.17,pairs,25,54.38266742992387,2.544368341281537,0.3594882677558298,0.7803921568627451,0.1825967797190818,5.0,60.274366017771314,0.104552780016116,1.59999894020208,0.9866071428571428,0.7196876865554404,3.322832863953576,0.4841986217393142
Forcipiger flavissimus,Longnose butterflyfish,Chaetodontidae,marine,1,1,1,2,4.17,pairs,25,106.17886030146748,1.31991282709608,0.836430060875122,0.996078431372549,0.8324759561619325,3.0,35.18010195307401,0.0527162351476158,1.656074471457702,0.6901408450704225,0.9169500316984612,1.8595421273103212,0.5919066740515093
Elacatinus oceanops,Neon goby,Gobiidae,marine,2,1,1,1,4.17,"pair, male tends eggs",25,64.65661181825126,2.3237262997065673,0.5213747762462159,0.7490196078431373,0.3581813701330705,5.0,40.86805585696978,0.1642434696895022,3.3757029048559053,1.0168539325842696,0.8706495297565461,3.0919302507538373,0.5265432098765432
Neolamprologus pulcher,Daffodil cichlid,Cichlidae,freshwater,2,1,1,1,4.17,monogamous cooperative,18,20.030730607355153,2.383378227704271,0.2607544571548719,0.3862745098039215,0.0025023989999537,3.0,17.517520048078538,0.0999960221162829,3.373045163000895,0.6897419072615922,0.8145786870964196,2.9083409946657883,0.421714891934178
Amphiprion frenatus,Tomato clownfish,Pomacentridae,marine,2,1,1,1,4.17,monogamous,25,100.42048628590814,3.0402546289409296,0.6239186311228612,0.8705882352941177,0.575655790147153,5.0,43.21831083084772,0.0820131636318335,1.4635803951685658,0.8833333333333333,0.8358897834536368,2.172533249981907,0.5608837167825932
Dascyllus aruanus,Humbug dascyllus,Pomacentridae,marine,2,1,1,2,5.0,nest-tending damselfish,25,29.70886941336547,2.1440097770856914,0.3884629405421833,0.6470588235294118,0.1393224440411373,5.0,56.7659840742931,0.1054541981087018,1.4830741477000908,0.8299595141700404,0.8444324454043677,2.23314584801256,0.6093181458629964
Chrysiptera cyanea,Sapphire devil,Pomacentridae,marine,2,1,1,2,5.0,"male nest, female choice",25,102.80010968311645,1.4043400527381922,0.7759030218626347,0.992156862745098,0.8601961277344732,5.0,21.95343005400353,0.0754716981132075,2.2410582070677796,0.5782312925170068,0.8836714199638481,2.461954544294322,0.5612203495630462
Sphaerichthys osphromenoides,Chocolate gourami,Osphronemidae,freshwater,3,1,1,1,5.0,mouthbrooder,25,35.069739064326626,1.4793201052455558,0.4318052057708685,0.5843137254901961,0.0513914807302231,5.0,34.90787043188708,0.1953309692671394,1.8443790563814648,0.5440414507772021,0.92192680015913,1.9650584926751316,0.6784532215357458
Hypoplectrus puella,Barred hamlet,Serranidae,marine,1,2,1,2,5.0,"egg-trading hermaphrodite, colour morphs",25,45.61056894011382,3.17097822039839,0.3158596646076914,0.5725490196078431,0.086765918659664,6.0,40.60628336120171,0.1222466960352423,1.6276162075231877,0.7077625570776256,0.7991649348916131,2.476926085193552,0.5201751330911986
Serranus tigrinus,Harlequin bass,Serranidae,marine,1,2,1,2,5.0,egg trader,25,37.3801727155283,3.263680793130438,0.2992265662052501,0.4980392156862745,0.0473815461346633,6.0,56.13977411723305,0.2506022746372345,2.842757764507686,0.4666666666666667,0.830969417277051,2.8997987971532417,0.5408583186360965
Trichopodus trichopterus,Three-spot gourami,Osphronemidae,freshwater,2,1,2,1,5.0,bubble nest,25,33.19895388096204,2.5958638411557167,0.2788898286983639,0.5019607843137255,0.0504575163398692,5.0,36.15476679291942,0.2037655267827604,2.4565943488404556,0.4366197183098591,0.9107340173638516,2.267622528659267,0.6383228618327956
Balistoides conspicillum,Clown triggerfish,Balistidae,marine,2,1,2,1,5.0,"TRAP: bold pattern, haremic nester",25,42.86857315250904,2.978355889334152,0.3918345079471272,0.8,0.2759622190222829,5.0,61.63542428616445,0.1458810920241745,1.8874452263361072,0.5868263473053892,0.904195352360582,2.064390980208588,0.6545645161290322
Rhinecanthus aculeatus,Picasso triggerfish,Balistidae,marine,2,1,2,1,5.0,"nest, haremic",25,43.29846867675876,3.0671265857682815,0.2316521112952682,0.4274509803921568,0.031972204871955,5.0,47.09038921815684,0.1033727755520357,2.1142208657742,0.5617283950617284,0.8653504378453485,2.286757973185892,0.5529509854842678
Odonus niger,Redtooth triggerfish,Balistidae,marine,2,1,2,1,5.0,"nest, haremic",25,47.39392856926308,2.2614384642450456,0.4197334504705432,0.7372549019607844,0.2193150541755217,5.0,28.555201151184637,0.1002239840722437,2.008805630798124,0.6435331230283912,0.7547285595450764,3.109430355967131,0.4894707520891365
Balistapus undulatus,Orange-lined triggerfish,Balistidae,marine,2,1,2,1,5.0,"nest, haremic",25,51.730441618971966,3.1347130509829766,0.3307233332445699,0.615686274509804,0.1195320679138786,5.0,34.88912272605564,0.179159802306425,1.9349346843812567,0.6727272727272727,0.8711905729378302,2.250929019964917,0.5766538988981889
Pterophyllum scalare,Freshwater angelfish,Cichlidae,freshwater,2,1,1,2,5.0,monogamous pair,25,25.422461902029756,1.686622291506874,0.2366359646330854,0.4274509803921568,0.0222115384615384,5.0,41.90033268097832,0.1339760771292555,1.539820274130905,0.875,0.7609389458576473,3.27322328130119,0.4971881390593047
Pomacanthus paru,French angelfish,Pomacanthidae,marine,1,2,1,2,5.0,monogamous pairs,25,33.26147291615426,2.7546010744245053,0.3925846307515254,0.592156862745098,0.0965554080740716,3.0,39.36368822818916,0.1409760920366708,1.227895905779654,0.8571428571428571,0.9050980124074992,2.096318794624376,0.6345434868162141
Gambusia affinis,Western mosquitofish,Poeciliidae,freshwater,3,1,1,1,5.0,"TRAP: internal fert but drab, coercive",25,27.350450855754808,1.7215674108090622,0.2650718412871586,0.4431372549019607,0.0106982629702059,5.0,39.35094216625023,0.179860088365243,3.760038735918341,0.356,0.7892604333007603,3.171357263450875,0.4666591659165917
Geophagus altifrons,Eartheater cichlid,Cichlidae,freshwater,3,1,1,1,5.0,mouthbrooder,25,19.967304766346174,2.2889181424843215,0.135972912108096,0.2470588235294117,0.0002853881278538,4.0,27.622737994697864,0.091379269251853,2.2653263478095584,0.6884057971014492,0.7995979060769289,3.377347399113436,0.4842301587301587
Stegastes partitus,Bicolor damselfish,Pomacentridae,marine,2,2,1,2,5.83,male courtship sound + display,25,38.8978430070412,2.7919832676076326,0.4078614199999599,0.6392156862745098,0.1264337715393076,6.0,45.772518675630735,0.0729618025464969,1.8857562389737816,0.660958904109589,0.8096677436912992,2.808459589514765,0.5594639612356148
Gomphosus varius,Bird wrasse,Labridae,marine,1,2,2,2,5.83,haremic display,25,38.99600469324574,2.8651348416241897,0.2964211717658245,0.5294117647058824,0.0643948581130244,5.0,57.707363376971934,0.1395833333333333,2.388681352276984,0.5509138381201044,0.7913894205936863,2.940622784957228,0.4999435028248588
Macropharyngodon meleagris,Leopard wrasse,Labridae,marine,1,2,2,2,5.83,haremic display,25,50.17175253223971,3.585299551412321,0.4015441796267457,0.6862745098039216,0.1573379603716556,5.0,39.08157867092713,0.2882164055658266,2.576922032229615,0.5175718849840255,0.8627924167318898,2.2015318542481355,0.5652601156069365
Bodianus rufus,Spanish hogfish,Labridae,marine,1,2,2,2,5.83,haremic,25,62.56015481919361,2.845475776340821,0.4520823474610224,0.7803921568627451,0.3285115383162745,5.0,29.11855187870345,0.1092987088140619,2.9782105003901145,0.5672131147540984,0.8482676483326115,2.8901654427183017,0.5981276634327681
Amphilophus citrinellus,Midas cichlid,Cichlidae,freshwater,2,2,1,2,5.83,monogamous,25,57.840423345918595,2.053787706736637,0.3243551123153086,0.596078431372549,0.0964543774155604,5.0,32.60741136311041,0.1177081478843985,1.5839480000505142,0.7294117647058823,0.8303241518307021,2.933523217793541,0.5941129379152129
Hemichromis bimaculatus,Jewel cichlid,Cichlidae,freshwater,2,2,1,2,5.83,monogamous,25,38.35090735491422,2.150506980539937,0.3717939034876916,0.5764705882352941,0.0827120724037429,5.0,35.62221943804779,0.2127494971375522,2.8313990749814395,0.4,0.8934806774341202,2.513248914596037,0.661
Thorichthys meeki,Firemouth cichlid,Cichlidae,freshwater,2,2,1,2,5.83,monogamous display,25,39.12436286293821,2.785406512494147,0.2890023263034846,0.4705882352941176,0.0415509813307802,5.0,38.43753811593348,0.2575425585707062,1.8740892905343236,0.7074074074074074,0.7906654876782899,3.2807921754412166,0.5465787753323164
Ostracion meleagris,Spotted boxfish,Ostraciidae,marine,1,2,2,2,5.83,"haremic, sexually dichromatic",25,38.07635643407241,3.446081272261293,0.4789530411765214,0.7764705882352941,0.2471712465531995,4.0,42.260971643312274,0.2410254537486761,2.276129511573453,0.54296875,0.832344124097137,2.362992368042909,0.576007141417341
Opistognathus aurifrons,Yellowhead jawfish,Opistognathidae,marine,3,1,1,2,5.83,paternal mouthbrooder,25,50.70355987535934,2.8784241117806135,0.3130442333442863,0.5803921568627451,0.0834892759464517,4.0,37.1154711795816,0.0960023174971031,2.412141198871564,1.4155844155844155,0.885245093204458,2.205377064554735,0.4727464788732394
Nemateleotris decora,Elegant firefish,Microdesmidae,marine,2,2,1,2,5.83,"pairs, display",25,59.0964466977119,3.6289616153872952,0.3578825532672628,0.8627450980392157,0.2687151384675604,5.0,59.03095682163192,0.0944518419884598,2.5803985282506323,0.75,0.705756376143812,3.572873496039487,0.3492750365291671
Nemateleotris magnifica,Fire goby,Microdesmidae,marine,2,2,1,2,5.83,"pairs, fin display",25,68.46778266311998,3.256571234385136,0.4122092868875157,0.8196078431372549,0.3006604766918733,6.0,50.92071951129275,0.0887226308225547,1.920821750639543,0.8888888888888888,0.6777430429564295,3.631121441126347,0.3345744254944351
Sparisoma viride,Stoplight parrotfish,Scaridae,marine,1,2,2,2,5.83,"haremic, terminal-male display",25,54.51767150305476,3.0231357243333026,0.4095141398823133,0.6588235294117647,0.1411599049546774,5.0,32.4595652116269,0.1985916292804815,2.266766959624491,0.5435897435897435,0.8491481020419539,2.4317553442920867,0.5649336201142179
Chlorurus sordidus,Bullethead parrotfish,Scaridae,marine,1,2,2,2,5.83,haremic,25,34.862357437223146,3.0361092258254,0.2835679789757504,0.4784313725490196,0.0167458488169716,5.0,26.048215102962477,0.0664335664335664,2.776790250332742,0.6153846153846154,0.8637554400642244,2.278857948229733,0.5303914835164835
Andinoacara pulcher,Blue acara,Cichlidae,freshwater,2,2,1,2,5.83,monogamous,25,28.435382167693938,2.716970000095942,0.2209833199315477,0.3843137254901961,0.0135637009526885,5.0,42.43196597057704,0.2720475038486914,1.77171156488085,1.2621951219512195,0.8780609543976404,2.2225438705057816,0.6583392984967789
Coris gaimard,Yellowtail coris,Labridae,marine,1,2,2,2,5.83,"haremic, terminal-male display",25,78.03320018110401,3.856745410683309,0.5622124285514072,0.9607843137254902,0.4418031261630071,5.0,37.56220681853806,0.1266747301823595,2.697977097004396,0.5191082802547771,0.906695074222459,2.210826367986296,0.5756499095202365
Pygoplites diacanthus,Regal angelfish,Pomacanthidae,marine,1,2,2,2,5.83,haremic,25,103.36926640227908,3.5208748469169717,0.6064455363574786,0.9647058823529412,0.5561862422101377,5.0,47.33490507537462,0.1976368544497057,1.841069701046058,0.6940298507462687,0.9372216451571592,1.8876052959003449,0.6802248677248677
Holacanthus ciliaris,Queen angelfish,Pomacanthidae,marine,1,2,2,2,5.83,haremic display,25,96.02348763054424,3.501107760404211,0.54097325140823,0.9058823529411764,0.3972408579797788,5.0,37.2903179587375,0.1408653017447762,1.378252257437657,0.746031746031746,0.8642408889400657,2.4488158340991046,0.6304624622736419
Holacanthus tricolor,Rock beauty,Pomacanthidae,marine,1,2,2,2,5.83,haremic,25,89.53608823590747,2.7417833578230955,0.6716265120933473,0.984313725490196,0.6176388345170851,4.0,51.868278566173586,0.0651072612421039,1.6984679878980966,0.7,0.9183601880217956,1.909707044965064,0.6604914347724983
Cyphotilapia frontosa,Frontosa cichlid,Cichlidae,freshwater,3,1,2,1,5.83,polygynous mouthbrooder,21,37.91182140974641,2.659482846753826,0.3462130398639425,0.5843137254901961,0.0884573137956016,5.0,40.839332539898585,0.2095003785011355,2.19276751878575,0.6761363636363636,0.8838572189664358,2.542184651691111,0.6210691823899371
Scarus quoyi,Quoy's parrotfish,Scaridae,marine,1,2,2,2,5.83,"harem, terminal-male display",25,51.51342755296445,3.379642560181731,0.4165451322619,0.7098039215686275,0.1707137601177336,5.0,27.254904432600306,0.0676654003297254,2.550244883129684,0.5668789808917197,0.8424216630313348,2.5870502329697076,0.5204574742268041
Centropyge bicolor,Bicolor angelfish,Pomacanthidae,marine,1,2,2,2,5.83,"haremic, protogynous",25,132.29894143680062,2.364183037589772,0.7989103909623031,0.9803921568627452,0.8889964504678929,5.0,63.30000000770339,0.0748252595854712,1.8273167807518664,0.5960264900662252,0.9091219881980468,2.105894536550483,0.6351772894002571
Ostracion cubicus,Yellow boxfish,Ostraciidae,marine,1,2,2,2,5.83,"haremic, male display",25,59.049153906033666,2.7824975657601816,0.4652486562438083,0.7647058823529411,0.2559098915361082,5.0,38.58740953085685,0.1379393009541161,1.689852460138476,0.7137809187279152,0.8796237581906574,1.9592258476283733,0.6450169138693729
Pomacanthus imperator,Emperor angelfish,Pomacanthidae,marine,1,2,2,2,5.83,haremic male display at dusk,25,70.16395369474981,2.9926696058040068,0.5674739747535275,0.9215686274509804,0.4342701172664779,5.0,54.30037682674684,0.2030637089138374,1.5751358156042254,0.6716981132075471,0.9476664958055684,1.767403939459326,0.6889287612971824
Pterapogon kauderni,Banggai cardinalfish,Apogonidae,marine,3,1,1,2,5.83,"paternal mouthbrooder, pair",25,38.012056649612354,3.638438415185979,0.3835304417558406,0.7254901960784313,0.2207601444396842,6.0,53.49461209713197,0.2394114555964266,1.683565403171906,0.8225806451612904,0.5857797261353561,6.089015347205873,0.3512676886792453
Ecsenius bicolor,Bicolor blenny,Blenniidae,marine,2,1,2,2,5.83,"male nest, female choice",25,42.38632126993499,3.4438025884260584,0.3811575395013106,0.615686274509804,0.1220958843792898,5.0,42.19018100095709,0.1383116323187031,1.6242325028640336,0.7207792207792207,0.8309320013052537,2.694895678980841,0.585464358831193
